
weekday,0,- [ ] Backstage Searches
weekday,0,- [ ] Meetup Searches
weekday,0,- [ ] Google Analytics
weekday,1,- [ ] Publish Animation
weekday,2,- [ ] Backup Laptop
weekday,2,- [ ] Updates
weekday,3,- [ ] Publish Tom Week
weekday,4,- [ ] Review pictures for instagram
weekday,5,- [ ] Publish Random or Short Story
weekday,6,- [ ] Publish 100 Words
spec,1,- [ ] Archive last months date files
spec,1,- [ ] Pay Verizon
spec,1,- [ ] Pay Florida Blue
spec,15,- [ ] Website Validations
limit,0,- [ ] Populate Next Month
limit,0,- [ ] Run Monthly Website Stats
daily,0,- [ ] Casting
daily,0,- [ ] Read
daily,0,- [ ] Writing
daily,0,- [ ] morning pills
daily,0,- [ ] evening pills
